0.10, [128.0, 128.0], [0.0, 0.0], [0, 0], error:[0.0, 0.0]
9.30, [143.69058008518357, 142.55950814284049], [0.0, 0.0], [-1.833333333333333, -1.6944444444444444], error:[-0.4046234153616699, -0.37358314690529376]
9.40, [138.14802020780502, 137.20568432933482], [0.0, 0.0], [-1.527777777777778, -1.472222222222222], error:[-0.2518456375838921, -0.22636092468307153]
9.50, [134.03429138083044, 133.38827481717922], [0.0, 0.0], [-1.0555555555555556, -0.9444444444444444], error:[-0.14629008202833654, -0.1319164802386271]
9.60, [130.62708093017397, 130.09961421877028], [0.0, 0.0], [-0.8333333333333333, -0.8055555555555556], error:[-0.06295674869500321, -0.05136092468307153]
9.70, [128.07701540186176, 127.71497070133569], [0.0, 0.0], [-0.611111111111111, -0.5833333333333333], error:[-0.0018456375838921055, 0.006972408650261795]
9.80, [126.45424642929943, 126.35231726280163], [0.0, 0.0], [-0.3888888888888889, -0.3333333333333333], error:[0.037043251304996784, 0.04030574198359513]
9.90, [125.64286194301826, 125.55743609032343], [0.0, 0.0], [-0.19444444444444445, -0.19444444444444445], error:[0.05648769574944123, 0.05975018642803957]
10.00, [124.8314774567371, 124.76255491784524], [0.0, 0.0], [-0.19444444444444445, -0.19444444444444445], error:[0.07593214019388567, 0.07919463087248402]
10.10, [124.36782917886215, 124.42189155821171], [0.0, 0.0], [-0.1111111111111111, -0.08333333333333333], error:[0.08704325130499678, 0.08752796420581735]
10.20, [124.13600503992467, 124.30833710500055], [0.0, 0.0], [-0.05555555555555555, -0.027777777777777776], error:[0.09259880686055233, 0.09030574198359513]
10.30, [124.25191710939342, 124.30833710500055], [0.0, 0.0], [0.027777777777777776, 0.0], error:[0.08982102908277455, 0.09030574198359513]
10.40, [124.48374124833089, 124.42189155821171], [0.0, 0.0], [0.05555555555555555, 0.027777777777777776], error:[0.084265473527219, 0.08752796420581735]
10.50, [125.06330159567457, 125.10321827747875], [0.0, 0.0], [0.13888888888888887, 0.16666666666666666], error:[0.0703765846383301, 0.07086129753915069]
10.60, [125.64286194301826, 125.6709905435346], [0.0, 0.0], [0.13888888888888887, 0.13888888888888887], error:[0.056487695749441215, 0.0569724086502618]
10.70, [125.99059815142448, 126.01165390316811], [0.0, 0.0], [0.08333333333333333, 0.08333333333333333], error:[0.04815436241610788, 0.048639075316928466]
10.80, [126.3383343598307, 126.35231726280163], [0.0, 0.0], [0.08333333333333333, 0.08333333333333333], error:[0.03982102908277455, 0.040305741983595135]
10.90, [127.03380677664312, 127.03364398206865], [0.0, 0.0], [0.16666666666666666, 0.16666666666666666], error:[0.023154362416107886, 0.02363907531692847]
11.00, [127.38154298504934, 127.48786179491334], [0.0, 0.0], [0.08333333333333333, 0.1111111111111111], error:[0.014821029082774552, 0.012527964205817357]
11.10, [127.72927919345554, 127.71497070133569], [0.0, 0.0], [0.08333333333333333, 0.05555555555555555], error:[0.006487695749441219, 0.006972408650261801]
11.20, [128.07701540186176, 128.0556340609692], [0.0, 0.0], [0.08333333333333333, 0.08333333333333333], error:[-0.0018456375838921141, -0.001360924683071532]
11.30, [128.42475161026798, 128.28274296739153], [0.0, 0.0], [0.08333333333333333, 0.05555555555555555], error:[-0.010178970917225447, -0.006916480238627088]
11.40, [128.42475161026798, 128.3962974206027], [0.0, 0.0], [0.0, 0.027777777777777776], error:[-0.010178970917225447, -0.009694258016404866]
11.50, [128.54066367973672, 128.5098518738139], [0.0, 0.0], [0.027777777777777776, 0.027777777777777776], error:[-0.012956748695003226, -0.012472035794182644]
11.60, [128.54066367973672, 128.5098518738139], [0.0, 0.0], [0.0, 0.0], error:[-0.012956748695003226, -0.012472035794182644]
11.70, [128.54066367973672, 128.5098518738139], [0.0, 0.0], [0.0, 0.0], error:[-0.012956748695003226, -0.012472035794182644]
11.80, [128.54066367973672, 128.5098518738139], [0.0, 0.0], [0.0, 0.0], error:[-0.012956748695003226, -0.012472035794182644]
11.90, [128.54066367973672, 128.5098518738139], [0.0, 0.0], [0.0, 0.0], error:[-0.012956748695003226, -0.012472035794182644]
12.00, [128.54066367973672, 128.3962974206027], [0.0, 0.0], [0.0, -0.027777777777777776], error:[-0.012956748695003226, -0.009694258016404866]
12.10, [128.42475161026798, 128.28274296739153], [0.0, 0.0], [-0.027777777777777776, -0.027777777777777776], error:[-0.010178970917225447, -0.006916480238627088]
12.20, [128.1929274713305, 128.16918851418038], [0.0, 0.0], [-0.05555555555555555, -0.027777777777777776], error:[-0.004623415361669892, -0.004138702460849309]
12.30, [128.1929274713305, 128.0556340609692], [0.0, 0.0], [0.0, -0.027777777777777776], error:[-0.004623415361669892, -0.0013609246830715315]
12.40, [127.72927919345554, 127.82852515454685], [0.0, 0.0], [-0.1111111111111111, -0.05555555555555555], error:[0.00648769574944122, 0.004194630872484024]
12.50, [127.72927919345554, 127.82852515454685], [0.0, 0.0], [0.0, 0.0], error:[0.00648769574944122, 0.004194630872484024]
12.60, [127.72927919345554, 127.82852515454685], [0.0, 0.0], [0.0, 0.0], error:[0.00648769574944122, 0.004194630872484024]
12.70, [127.72927919345554, 127.82852515454685], [0.0, 0.0], [0.0, 0.0], error:[0.00648769574944122, 0.004194630872484024]
12.80, [127.72927919345554, 127.82852515454685], [0.0, 0.0], [0.0, 0.0], error:[0.00648769574944122, 0.004194630872484024]
12.90, [127.72927919345554, 127.82852515454685], [0.0, 0.0], [0.0, 0.0], error:[0.00648769574944122, 0.004194630872484024]
13.00, [127.72927919345554, 127.82852515454685], [0.0, 0.0], [0.0, 0.0], error:[0.00648769574944122, 0.004194630872484024]
13.10, [127.72927919345554, 127.82852515454685], [0.0, 0.0], [0.0, 0.0], error:[0.00648769574944122, 0.004194630872484024]
13.20, [127.72927919345554, 127.82852515454685], [0.0, 0.0], [0.0, 0.0], error:[0.00648769574944122, 0.004194630872484024]
13.30, [127.72927919345554, 127.82852515454685], [0.0, 0.0], [0.0, 0.0], error:[0.00648769574944122, 0.004194630872484024]
13.40, [127.72927919345554, 127.82852515454685], [0.0, 0.0], [0.0, 0.0], error:[0.00648769574944122, 0.004194630872484024]
13.50, [127.72927919345554, 127.82852515454685], [0.0, 0.0], [0.0, 0.0], error:[0.00648769574944122, 0.004194630872484024]
13.60, [127.72927919345554, 127.82852515454685], [0.0, 0.0], [0.0, 0.0], error:[0.00648769574944122, 0.004194630872484024]
13.70, [127.72927919345554, 127.82852515454685], [0.0, 0.0], [0.0, 0.0], error:[0.00648769574944122, 0.004194630872484024]
13.80, [127.72927919345554, 127.82852515454685], [0.0, 0.0], [0.0, 0.0], error:[0.00648769574944122, 0.004194630872484024]
13.90, [127.72927919345554, 127.82852515454685], [0.0, 0.0], [0.0, 0.0], error:[0.00648769574944122, 0.004194630872484024]
14.00, [127.72927919345554, 127.82852515454685], [0.0, 0.0], [0.0, 0.0], error:[0.00648769574944122, 0.004194630872484024]
14.10, [127.72927919345554, 127.82852515454685], [0.0, 0.0], [0.0, 0.0], error:[0.00648769574944122, 0.004194630872484024]
14.20, [127.72927919345554, 127.82852515454685], [0.0, 0.0], [0.0, 0.0], error:[0.00648769574944122, 0.004194630872484024]
14.30, [127.72927919345554, 127.82852515454685], [0.0, 0.0], [0.0, 0.0], error:[0.00648769574944122, 0.004194630872484024]
14.40, [127.72927919345554, 127.82852515454685], [0.0, 0.0], [0.0, 0.0], error:[0.00648769574944122, 0.004194630872484024]
14.50, [127.72927919345554, 127.82852515454685], [0.0, 0.0], [0.0, 0.0], error:[0.00648769574944122, 0.004194630872484024]
14.60, [127.72927919345554, 127.82852515454685], [0.0, 0.0], [0.0, 0.0], error:[0.00648769574944122, 0.004194630872484024]
14.70, [127.72927919345554, 127.82852515454685], [0.0, 0.0], [0.0, 0.0], error:[0.00648769574944122, 0.004194630872484024]
14.80, [127.72927919345554, 127.82852515454685], [0.0, 0.0], [0.0, 0.0], error:[0.00648769574944122, 0.004194630872484024]
14.90, [127.72927919345554, 127.82852515454685], [0.0, 0.0], [0.0, 0.0], error:[0.00648769574944122, 0.004194630872484024]
15.00, [127.72927919345554, 127.82852515454685], [0.0, 0.0], [0.0, 0.0], error:[0.00648769574944122, 0.004194630872484024]
15.10, [127.72927919345554, 127.82852515454685], [0.0, 0.0], [0.0, 0.0], error:[0.00648769574944122, 0.004194630872484024]
15.20, [127.72927919345554, 127.82852515454685], [0.0, 0.0], [0.0, 0.0], error:[0.00648769574944122, 0.004194630872484024]
15.30, [127.72927919345554, 127.82852515454685], [0.0, 0.0], [0.0, 0.0], error:[0.00648769574944122, 0.004194630872484024]
15.40, [127.72927919345554, 127.82852515454685], [0.0, 0.0], [0.0, 0.0], error:[0.00648769574944122, 0.004194630872484024]
15.50, [127.72927919345554, 127.82852515454685], [0.0, 0.0], [0.0, 0.0], error:[0.00648769574944122, 0.004194630872484024]
15.60, [127.72927919345554, 127.82852515454685], [0.0, 0.0], [0.0, 0.0], error:[0.00648769574944122, 0.004194630872484024]
15.70, [127.72927919345554, 127.82852515454685], [0.0, 0.0], [0.0, 0.0], error:[0.00648769574944122, 0.004194630872484024]
15.80, [127.72927919345554, 127.82852515454685], [0.0, 0.0], [0.0, 0.0], error:[0.00648769574944122, 0.004194630872484024]
15.90, [127.72927919345554, 127.82852515454685], [0.0, 0.0], [0.0, 0.0], error:[0.00648769574944122, 0.004194630872484024]
16.00, [127.72927919345554, 127.82852515454685], [0.0, 0.0], [0.0, 0.0], error:[0.00648769574944122, 0.004194630872484024]
16.10, [127.72927919345554, 127.82852515454685], [0.0, 0.0], [0.0, 0.0], error:[0.00648769574944122, 0.004194630872484024]
16.20, [127.72927919345554, 127.82852515454685], [0.0, 0.0], [0.0, 0.0], error:[0.00648769574944122, 0.004194630872484024]
16.30, [127.72927919345554, 127.82852515454685], [0.0, 0.0], [0.0, 0.0], error:[0.00648769574944122, 0.004194630872484024]
16.40, [127.72927919345554, 127.82852515454685], [0.0, 0.0], [0.0, 0.0], error:[0.00648769574944122, 0.004194630872484024]
16.50, [127.72927919345554, 127.82852515454685], [0.0, 0.0], [0.0, 0.0], error:[0.00648769574944122, 0.004194630872484024]
16.60, [127.72927919345554, 127.82852515454685], [0.0, 0.0], [0.0, 0.0], error:[0.00648769574944122, 0.004194630872484024]
